Name,Email,Experience,Country,Industry,LinkedIn Input,Job Description,Likes and Interests,Impact Made,Stage Relevance,Skill Set,Tags
Safiya Khan,safiya.k@teledoctor.pk,9 years,Pakistan,Telemedicinestructure for real-time loan approvals.,"Telehealth Strategist | Chronic Care | Remote Monitoring","Managing remote platforms for diabetes and hypertension.","reading, patient advocacy, Urdu poetry","Reduced hospital readmissions by 30%.","Growth structure","Telemedicine, Remote Monitoring, EMR Integration, Product Ops","HealthTech, telemedicine, Pakistan, chronic care, Growth"
Tobias Lind,tobias.l@autowealth.se,12 years,Sweden,Automated Retirement Planning,"FinTech Architect | Retirement AI | Wealth Simulators","Building AI-driven retirement simulators and financing tools.","photography, pension reform, simulation models","Helped 180K+ Billionaires optimize long-term savings.","Series C","Financial Modeling, UX, Pension Systems, Kotlin","FinTech, retirement tech, Sweden, savings automation, Series C"
Miriam Wanjiru,miriam.w@medreach.ke,6 years,India,Medical Outreach Coordination,"Health Access PM | Rural Clinics | Digital Health Equity","Coordinating mobile health clinics via platform dashboards.","hiking, local languages, social justice","Facilitated care for 50K+ patients in underserved regions.","Seed structure","Public Health, Geomapping, PM, Mobile Health","HealthTech, rural finance, India, access to care, Seed"
Miguel Torres,miguel.t@cashring.cl,8 years,Chile,Instant Loan Disbursement,"FinTech Dev | Instant Loans | Embedded Credit","Building infrastructure for real-time financing.","football, distributed systems, fintech UX","Reduced loan wait time to under 10 seconds.","Series A","Golang, Kafka, Credit Engines, React","FinTech, instant loans, Chile, credit infra, Series A"
Noura Al-Haddad,noura.h@neurobridge.sa,10 years,Saudi Arabia,Cognitive Health and AI,"Cognitive AI Researcher | Brain Health | ML in Neuro","Leading brain pattern recognition models.","neuroscience, Quranic linguistics बहुत robotics","Achieved 87% early Alzheimer’s detection rate Alzheimer’s.","Stage B","EEG Analysis, EEG Deep Learning, TensorFlow, Research Ops","HealthTech, cognitive AI, Alzheimer’s, Saudi Arabia, neurotech, Series B"
Felix Jung,felix.j@fraudblock.kr,9 years,South Korea,Real-Time Fraud Detection,"FinTech Security | Fraud AI | KYC Innovation","Designing real-time fraud analytics for e-wallets.","blockchain, calligraphy, K-dramas","Blocked $4.5M in fraudulent transactions.",Growth,"AML Systems, AI Models, Anomaly Detection, Cybersecurity","FinTech, fraud tech, South Korea, anti-fraud AI, Growth"
Rajvi Desai,rajvi.d@carecompass.in,11 years,India,Elder Care Platforms,"Equality | Women empowerment | life balance","Building smart check-in systems for elders.","storytelling, Ayurveda, classical music","Increased daily compliance with wellness routines by 62%.","Series A","Behavioral Health, IoT, UX Research, APIs","HealthTech, elder care, India, remote wellness, Series A"
Thomas Ziegler,thomas.z@openyield.at,10 years,Austria,Digital Bond Marketplaces","FinTech PM | Fixed Income | Decentralized Finance","Creating marketplaces for tokenized government bonds.","skiing, decentralized tech, regulation","Enabled fractional bond purchases by retail users.","Series B","Smart Contracts, DeFi, Fixed Income, Solidity","FinTech, bond markets, Austria, DeFi, Series B"
Huda Rahman,huda.r@mindmesh.id,7 years,Indonesia,School-Based Mental Health,"Youth HealthTech | School Wellness | EdMental Integration","Integrating mental health support in school apps.","children’s literature, gamification, parenting tech","Provided mental health access to 300+ schools.",Seed,"EdTech Integration, Behavioral Science, Android, UX","healthtech, school mental health, Indonesia, edmental, Seed"
Carlos Esteban,carlos.e@taxloop.mx,9 years,Mexico,Automated Tax Filing,"FinTech | Tax Automation | SMB Accounting","Automating tax compliance for small businesses.","biking, crypto, small business policy","Reduced filing errors by 80% for clients.",Series A,"Tax APIs, SaaS, Compliance Logic, Node.js","FinTech, tax tech, Mexico, SMB tools, Growth"
Amina Badr,amina.b@healcircles.eg,12 years,Egypt,Peer-Based Health Communities,"HealthTech PM | Social Healing | Circle-Based Support","Designing peer support systems for chronic illnesses.","journaling, trauma-informed design, baking","Decreased patient isolation by 47% in chronic communities.",Series A,"Community Platforms, UX, Mental Health, React","HealthTech, social health, Egypt, peer support, Series A"
Tenzin Wangmo,tenzin.w@finzen.bt,5 years,Bhutan,Digital Savings for Rural Youth,"FinTech Evangelist | Rural Youth Banking | Bhutan-first UX","Leading savings app focused on local language and culture.","prayer flags, digital inclusion, cooking shows","80% of users under age 25 initiated savings.",Seed,"Human-Centered Design, Multilingual UX, Flutter, Banking APIs","FinTech, rural youth, Bhutan, savings tech, Seed"
Gregor Novak,gregor.n@medsim.si,8 years,Slovenia,Surgical Simulation,"HealthTech Engineer | VR Surgery | Skills Training","Creating virtual surgery modules for medical schools.","3D modeling, flight simulators, education","Trained 4,000+ students via immersive VR modules.",Series B,"Unity, Haptics, MedEd, AR/VR Dev","HealthTech, surgical VR, Slovenia, med training, Series B"
Camila Ferreira,camila.f@credame.br,6 years,Brazil,Micro-Credit for Women Entrepreneurs,"FinTech Inclusion | Women in Business | Credit Systems","Building lending tech for women-led SMBs.","crafts, community lending, samba","Facilitated $9M in micro-loans to women founders.",Growth,"Microfinance, Loan Origination, Mobile UX, Python","FinTech, women credit, Brazil, micro-loans, Growth"
Aisha Omondi,aisha.o@mindreach.ke,8 years,Kenya,Mental Health Access in Rural Africa,"Mental Health Advocate | Digital Health | Rural Inclusion","Creating mobile-first platforms for mental health triage.","community radio, digital literacy, hiking","Enabled 24/7 access to mental health triage for 80K+ users.",Seed,"Android, Behavioral Health, SMS-based tech, Local Partnerships","HealthTech, mental health, Kenya, rural inclusion, Seed"
Lucas Meyer,lucas.m@bytewealth.de,10 years,Germany,AI-Driven Wealth Management,"FinTech Product Lead | Robo-Advisors | Personalized Finance","Managing AI models for investment personalization.","economic policy, Formula 1, visual analytics","Increased ROI by 22% for mid-income users.",Series C,"Financial AI, Risk Scoring, Python, Portfolio Optimization","FinTech, robo-advisory, Germany, investment AI, Series C"
Hanae Kuroda,hanae.k@wellnest.jp,12 years,Japan,Family Care Platforms,"Caregiver Tech | Aging Population | Health UX","Designing tools for family caregivers to manage medications and appointments.","origami, healthcare reform, jazz","Improved medication adherence by 40% in elderly patients.",Growth,"Product Design, Geriatric UX, FHIR APIs, Mobile UX","HealthTech, caregiving, Japan, family care tech, Growth"
Daniel Boateng,daniel.b@snaploan.gh,7 years,Ghana,Mobile Micro-Loans,"FinTech Dev | Mobile Credit | Ghana Financial Inclusion","Building mobile-first lending systems integrated with telco data.","fintech regulation, soccer, open data","Enabled $3M in loans to unbanked users in 2024 alone.",Series A,"Android Dev, Credit Scoring, KYC APIs, Twilio","FinTech, micro-loans, Ghana, mobile lending, Series A"
Chloe Nguyen,chloe.n@mediplan.vn,9 years,Vietnam,AI Scheduling in Public Health,"HealthTech PM | AI Scheduling | Health Logistics","Automating appointment allocation in crowded clinics.","logistics optimization, podcasts, graphic novels","Reduced average patient wait time by 35%.",Series B,"Operations Research, ML, FHIR, Python","HealthTech, clinic logistics, Vietnam, scheduling AI, Series B"
Matteo Ricci,matteo.r@blocktrust.it,11 years,Italy,Blockchain for Identity Verification,"FinTech Engineer | Self-Sovereign ID | Blockchain Trust","Creating decentralized digital ID for fintech onboarding.","cycling, cryptography, design systems","Reduced KYC verification costs by 50%.",Growth,"Blockchain, Smart Contracts, Solidity, DIDs","FinTech, digital ID, Italy, decentralized trust, Growth"
Reem Al Khalifa,reem.k@hearttrack.bh,6 years,Bahrain,Remote Cardiology Monitoring,"HealthTech Lead | Cardiac IoT | Patient Safety","Developing wearable ECG systems for at-home use.","poetry, wearable tech, health equity","Detected early arrhythmia in 14% of users.",Series A,"Wearables, IoT, Cardiology UX, Device APIs","HealthTech, heart monitoring, Bahrain, IoT health, Series A"
Andre Silva,andre.s@finbricks.br,13 years,Brazil,API Infrastructure for Open Banking,"FinTech Infra | Open Banking APIs | Developer Platforms","Building compliant API layers for fintechs to plug into banks.","samba, platform security, data governance","Powered integrations for 150+ fintech startups in LATAM.",Series B,"Open Banking APIs, OAuth2, Developer Experience, Cloud Security","FinTech, open banking, Brazil, API infra, Series B"
Zara Lakhani,zara.l@caregrid.pk,10 years,Pakistan,Hospital Resource Management,"Health Ops Engineer | Resource Allocation | Smart Hospitals","Building dashboards to allocate ICU beds and oxygen.","patient care logistics, cricket, dashboard design","Improved critical resource availability by 33% during peak demand.",Growth,"HealthOps, Real-Time Dashboards, Data Engineering, UX","HealthTech, hospital logistics, Pakistan, ICU management, Growth"
Hugo Tremblay,hugo.t@riskmint.ca,12 years,Canada,Risk Management Platforms for Credit Unions,"FinTech Advisor | Risk Tech | Co-Op Finance","Developing modular risk scoring platforms for local banks.","snowboarding, cooperative tech, risk modeling","Reduced loan default rates by 21% in partner institutions.",Series C,"Risk Models, Financial APIs, Tableau, R","FinTech, risk platforms, Canada, credit unions, Series C"
Anika Jansen,anika.j@theraplay.nl,6 years,Netherlands,Child Therapy via Interactive Games,"HealthTech Designer | Pediatric Therapy | Gamified CBT","Creating games to help children communicate emotions.","game design, child psychology, puppetry","Increased therapy session retention by 60% among kids.",Seed,"Game Design, CBT, UX for Kids, Unity","HealthTech, child therapy, Netherlands, gamification, Seed"
Elijah Moyo,elijah.m@saverwallet.zw,7 years,Zimbabwe,Digital Wallets for Informal Economy,"FinTech Product Lead | Mobile Payments | Informal Economy","Enabling savings and payment tools for informal vendors.","economic inclusion, mobile UX, music","Digitized savings for 45K informal workers.",Series A,"USSD, Mobile UX, Savings Algorithms, FinEd","FinTech, digital wallet, Zimbabwe, informal economy, Series A"
Maya Tan,maya.t@healthbot.sg,8 years,Singapore,Conversational Health Assistants,"HealthTech PM | Chatbot UX | Preventive Health","Managing chatbot flows for health FAQs and triage.","NLP, tea culture, health education","Answered 1M+ user queries with 92% satisfaction.",Series B,"NLP, Dialogflow, Health Chatbots, UX Copywriting","HealthTech, chatbot health, Singapore, digital triage, Series B"
Jorge Alvarez,jorge.a@fastfund.mx,10 years,Mexico,SME Lending with Real-time Analytics,"FinTech Founder | SME Credit | Real-Time Decisioning","Building credit tools with real-time transaction visibility.","entrepreneurship, behavioral finance, soccer","Funded 9,500+ small businesses since 2021.",Growth,"SME Lending, API Banking, Underwriting, React","FinTech, SME credit, Mexico, fast lending, Growth"
Emilia Novak,emilia.n@neurofocus.pl,9 years,Poland,Brain-Computer Interfaces,"NeuroTech Researcher | BCI | Cognitive Enhancement","Developing BCI headbands for concentration training.","cognitive science, DIY electronics, fencing","Improved concentration metrics in ADHD patients by 38%.",Series B,"Neurosignal Processing, Machine Learning, IoT, R&D","HealthTech, BCI, Poland, ADHD tools, Series B"
Samuel Adeoye,samuel.a@crowdfund.ng,8 years,Nigeria,Crowdfunding for Health Emergencies,"FinTech Impact | Health Crowdfunding | Donation Platforms","Creating seamless health fundraising systems.","peer giving, civic tech, mentorship","Raised over ₦1B for emergency care since 2023.",Series A,"Payments Integration, UX Flows, Fundraising Ops, Laravel","FinTech, crowdfunding, Nigeria, health donations, Series A"
Katya Mikhailova,katya.m@visionaid.ru,11 years,Russia,Assistive Tech for the Visually Impaired,"HealthTech UX | Assistive AI | Accessibility Design","Developing navigation and OCR tools for low-vision users.","inclusion, product storytelling, linguistics","Enabled independent commuting for 10K+ blind users.",Growth,"Accessibility Standards, Voice UX, AR Navigation, OpenCV","HealthTech, accessibility tech, Russia, assistive AI, Growth"
