Name,Email,Experience,Country,Industry,LinkedIn Input,Job Description,Likes and Interests,Impact Made,Stage Relevance,Skill Set,Tags
Miriam Wanjiru,miriam.w@medreach.ke,6 years,India,Medical Outreach Coordination,Health Access PM | Rural Clinics | Digital Health Equity,Coordinating mobile health clinics via platform dashboards.,"hiking, local languages, social justice",Facilitated care for 50K+ patients in underserved regions.,Seed structure,"Public Health, Geomapping, PM, Mobile Health","HealthTech, rural finance, India, access to care, Seed"
Miguel Torres,miguel.t@cashring.cl,8 years,Chile,Instant Loan Disbursement,FinTech Dev | Instant Loans | Embedded Credit,Building infrastructure for real-time financing.,"football, distributed systems, fintech UX",Reduced loan wait time to under 10 seconds.,Series A,"Golang, Kafka, Credit Engines, React","FinTech, instant loans, Chile, credit infra, Series A"
Noura Al-Haddad,noura.h@neurobridge.sa,10 years,Saudi Arabia,Cognitive Health and AI,Cognitive AI Researcher | Brain Health | ML in Neuro,Leading brain pattern recognition models.,"neuroscience, Quranic linguistics बहुत robotics",Achieved 87% early Alzheimer’s detection rate Alzheimer’s.,Stage B,"EEG Analysis, EEG Deep Learning, TensorFlow, Research Ops","HealthTech, cognitive AI, Alzheimer’s, Saudi Arabia, neurotech, Series B"
Felix Jung,felix.j@fraudblock.kr,9 years,South Korea,Real-Time Fraud Detection,FinTech Security | Fraud AI | KYC Innovation,Designing real-time fraud analytics for e-wallets.,"blockchain, calligraphy, K-dramas",Blocked $4.5M in fraudulent transactions.,Growth,"AML Systems, AI Models, Anomaly Detection, Cybersecurity","FinTech, fraud tech, South Korea, anti-fraud AI, Growth"
Rajvi Desai,rajvi.d@carecompass.in,11 years,India,Elder Care Platforms,Building smart check-in systems for elders.,"storytelling, Ayurveda, classical music",Increased daily compliance with wellness routines by 62%.,Series A,"Behavioral Health, IoT, UX Research, APIs","HealthTech, elder care, India, remote wellness, Series A","HealthTech, elder care"
Thomas Ziegler,thomas.z@openyield.at,10 years,Austria,"Digital Bond Marketplaces""",FinTech PM | Fixed Income | Decentralized Finance,Creating marketplaces for tokenized government bonds.,"skiing, decentralized tech, regulation",Enabled fractional bond purchases by retail users.,Series B,"Smart Contracts, DeFi, Fixed Income, Solidity","FinTech, bond markets, Austria, DeFi, Series B"
Huda Rahman,huda.r@mindmesh.id,7 years,Indonesia,School-Based Mental Health,Youth HealthTech | School Wellness | EdMental Integration,Integrating mental health support in school apps.,"children’s literature, gamification, parenting tech",Provided mental health access to 300+ schools.,Seed,"EdTech Integration, Behavioral Science, Android, UX","healthtech, school mental health, Indonesia, edmental, Seed"
Carlos Esteban,carlos.e@taxloop.mx,9 years,Mexico,Automated Tax Filing,FinTech | Tax Automation | SMB Accounting,Automating tax compliance for small businesses.,"biking, crypto, small business policy",Reduced filing errors by 80% for clients.,Series A,"Tax APIs, SaaS, Compliance Logic, Node.js","FinTech, tax tech, Mexico, SMB tools, Growth"
Amina Badr,amina.b@healcircles.eg,12 years,Egypt,Peer-Based Health Communities,HealthTech PM | Social Healing | Circle-Based Support,Designing peer support systems for chronic illnesses.,"journaling, trauma-informed design, baking",Decreased patient isolation by 47% in chronic communities.,Series A,"Community Platforms, UX, Mental Health, React","HealthTech, social health, Egypt, peer support, Series A"
Tenzin Wangmo,tenzin.w@finzen.bt,5 years,Bhutan,Digital Savings for Rural Youth,FinTech Evangelist | Rural Youth Banking | Bhutan-first UX,Leading savings app focused on local language and culture.,"prayer flags, digital inclusion, cooking shows",80% of users under age 25 initiated savings.,Seed,"Human-Centered Design, Multilingual UX, Flutter, Banking APIs","FinTech, rural youth, Bhutan, savings tech, Seed"
Gregor Novak,gregor.n@medsim.si,8 years,Slovenia,Surgical Simulation,HealthTech Engineer | VR Surgery | Skills Training,Creating virtual surgery modules for medical schools.,"3D modeling, flight simulators, education","Trained 4,000+ students via immersive VR modules.",Series B,"Unity, Haptics, MedEd, AR/VR Dev","HealthTech, surgical VR, Slovenia, med training, Series B"
Camila Ferreira,camila.f@credame.br,6 years,Brazil,Micro-Credit for Women Entrepreneurs,FinTech Inclusion | Women in Business | Credit Systems,Building lending tech for women-led SMBs.,"crafts, community lending, samba",Facilitated $9M in micro-loans to women founders.,Growth,"Microfinance, Loan Origination, Mobile UX, Python","FinTech, women credit, Brazil, micro-loans, Growth"
Aisha Omondi,aisha.o@mindreach.ke,8 years,Kenya,Mental Health Access in Rural Africa,Mental Health Advocate | Digital Health | Rural Inclusion,Creating mobile-first platforms for mental health triage.,"community radio, digital literacy, hiking",Enabled 24/7 access to mental health triage for 80K+ users.,Seed,"Android, Behavioral Health, SMS-based tech, Local Partnerships","HealthTech, mental health, Kenya, rural inclusion, Seed"
Lucas Meyer,lucas.m@bytewealth.de,10 years,Germany,AI-Driven Wealth Management,FinTech Product Lead | Robo-Advisors | Personalized Finance,Managing AI models for investment personalization.,"economic policy, Formula 1, visual analytics",Increased ROI by 22% for mid-income users.,Series C,"Financial AI, Risk Scoring, Python, Portfolio Optimization","FinTech, robo-advisory, Germany, investment AI, Series C"
Hanae Kuroda,hanae.k@wellnest.jp,12 years,Japan,Family Care Platforms,Caregiver Tech | Aging Population | Health UX,Designing tools for family caregivers to manage medications and appointments.,"origami, healthcare reform, jazz",Improved medication adherence by 40% in elderly patients.,Growth,"Product Design, Geriatric UX, FHIR APIs, Mobile UX","HealthTech, caregiving, Japan, family care tech, Growth"
Daniel Boateng,daniel.b@snaploan.gh,7 years,Ghana,Mobile Micro-Loans,FinTech Dev | Mobile Credit | Ghana Financial Inclusion,Building mobile-first lending systems integrated with telco data.,"fintech regulation, soccer, open data",Enabled $3M in loans to unbanked users in 2024 alone.,Series A,"Android Dev, Credit Scoring, KYC APIs, Twilio","FinTech, micro-loans, Ghana, mobile lending, Series A"
Chloe Nguyen,chloe.n@mediplan.vn,9 years,Vietnam,AI Scheduling in Public Health,HealthTech PM | AI Scheduling | Health Logistics,Automating appointment allocation in crowded clinics.,"logistics optimization, podcasts, graphic novels",Reduced average patient wait time by 35%.,Series B,"Operations Research, ML, FHIR, Python","HealthTech, clinic logistics, Vietnam, scheduling AI, Series B"
Matteo Ricci,matteo.r@blocktrust.it,11 years,Italy,Blockchain for Identity Verification,FinTech Engineer | Self-Sovereign ID | Blockchain Trust,Creating decentralized digital ID for fintech onboarding.,"cycling, cryptography, design systems",Reduced KYC verification costs by 50%.,Growth,"Blockchain, Smart Contracts, Solidity, DIDs","FinTech, digital ID, Italy, decentralized trust, Growth"
Reem Al Khalifa,reem.k@hearttrack.bh,6 years,Bahrain,Remote Cardiology Monitoring,HealthTech Lead | Cardiac IoT | Patient Safety,Developing wearable ECG systems for at-home use.,"poetry, wearable tech, health equity",Detected early arrhythmia in 14% of users.,Series A,"Wearables, IoT, Cardiology UX, Device APIs","HealthTech, heart monitoring, Bahrain, IoT health, Series A"
Andre Silva,andre.s@finbricks.br,13 years,Brazil,API Infrastructure for Open Banking,FinTech Infra | Open Banking APIs | Developer Platforms,Building compliant API layers for fintechs to plug into banks.,"samba, platform security, data governance",Powered integrations for 150+ fintech startups in LATAM.,Series B,"Open Banking APIs, OAuth2, Developer Experience, Cloud Security","FinTech, open banking, Brazil, API infra, Series B"
Zara Lakhani,zara.l@caregrid.pk,10 years,Pakistan,Hospital Resource Management,Health Ops Engineer | Resource Allocation | Smart Hospitals,Building dashboards to allocate ICU beds and oxygen.,"patient care logistics, cricket, dashboard design",Improved critical resource availability by 33% during peak demand.,Growth,"HealthOps, Real-Time Dashboards, Data Engineering, UX","HealthTech, hospital logistics, Pakistan, ICU management, Growth"
Hugo Tremblay,hugo.t@riskmint.ca,12 years,Canada,Risk Management Platforms for Credit Unions,FinTech Advisor | Risk Tech | Co-Op Finance,Developing modular risk scoring platforms for local banks.,"snowboarding, cooperative tech, risk modeling",Reduced loan default rates by 21% in partner institutions.,Series C,"Risk Models, Financial APIs, Tableau, R","FinTech, risk platforms, Canada, credit unions, Series C"
Anika Jansen,anika.j@theraplay.nl,6 years,Netherlands,Child Therapy via Interactive Games,HealthTech Designer | Pediatric Therapy | Gamified CBT,Creating games to help children communicate emotions.,"game design, child psychology, puppetry",Increased therapy session retention by 60% among kids.,Seed,"Game Design, CBT, UX for Kids, Unity","HealthTech, child therapy, Netherlands, gamification, Seed"
Elijah Moyo,elijah.m@saverwallet.zw,7 years,Zimbabwe,Digital Wallets for Informal Economy,FinTech Product Lead | Mobile Payments | Informal Economy,Enabling savings and payment tools for informal vendors.,"economic inclusion, mobile UX, music",Digitized savings for 45K informal workers.,Series A,"USSD, Mobile UX, Savings Algorithms, FinEd","FinTech, digital wallet, Zimbabwe, informal economy, Series A"
Maya Tan,maya.t@healthbot.sg,8 years,Singapore,Conversational Health Assistants,HealthTech PM | Chatbot UX | Preventive Health,Managing chatbot flows for health FAQs and triage.,"NLP, tea culture, health education",Answered 1M+ user queries with 92% satisfaction.,Series B,"NLP, Dialogflow, Health Chatbots, UX Copywriting","HealthTech, chatbot health, Singapore, digital triage, Series B"
Jorge Alvarez,jorge.a@fastfund.mx,10 years,Mexico,SME Lending with Real-time Analytics,FinTech Founder | SME Credit | Real-Time Decisioning,Building credit tools with real-time transaction visibility.,"entrepreneurship, behavioral finance, soccer","Funded 9,500+ small businesses since 2021.",Growth,"SME Lending, API Banking, Underwriting, React","FinTech, SME credit, Mexico, fast lending, Growth"
Emilia Novak,emilia.n@neurofocus.pl,9 years,Poland,Brain-Computer Interfaces,NeuroTech Researcher | BCI | Cognitive Enhancement,Developing BCI headbands for concentration training.,"cognitive science, DIY electronics, fencing",Improved concentration metrics in ADHD patients by 38%.,Series B,"Neurosignal Processing, Machine Learning, IoT, R&D","HealthTech, BCI, Poland, ADHD tools, Series B"
Samuel Adeoye,samuel.a@crowdfund.ng,8 years,Nigeria,Crowdfunding for Health Emergencies,FinTech Impact | Health Crowdfunding | Donation Platforms,Creating seamless health fundraising systems.,"peer giving, civic tech, mentorship",Raised over ₦1B for emergency care since 2023.,Series A,"Payments Integration, UX Flows, Fundraising Ops, Laravel","FinTech, crowdfunding, Nigeria, health donations, Series A"
Katya Mikhailova,katya.m@visionaid.ru,11 years,Russia,Assistive Tech for the Visually Impaired,HealthTech UX | Assistive AI | Accessibility Design,Developing navigation and OCR tools for low-vision users.,"inclusion, product storytelling, linguistics",Enabled independent commuting for 10K+ blind users.,Growth,"Accessibility Standards, Voice UX, AR Navigation, OpenCV","HealthTech, accessibility tech, Russia, assistive AI, Growth"
Aisha Patel,user1@example.com,6 years,USA,Legal Workflow Automation,Professional in Legal Workflow Automation | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in the legal workflow automation space to solve real-world problems.,"documentaries, tennis, sailing",Improved efficiency by 42% in domain-specific outcomes.,MVP,"Project Management, Cloud, Policy, Python, Product Strategy","legal workflow automation, innovation, usa, impact"
Carlos Ito,user2@example.com,8 years,Japan,Marine Biology Research,Professional in Marine Biology Research | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in the marine biology research space to solve real-world problems.,"sailing, documentaries, culinary arts",Improved efficiency by 33% in domain-specific outcomes.,Growth,"Research, Data Analysis, AI/ML, Python, UI/UX","marine biology research, innovation, japan, impact"
Emily Garcia,user3@example.com,7 years,Brazil,Sports Injury Predictive Modeling,Professional in Sports Injury Predictive Modeling | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in the sports injury predictive modeling space to solve real-world problems.,"tennis, game theory, comic books",Improved efficiency by 61% in domain-specific outcomes.,Iteration,"AI/ML, Data Analysis, Research, Cloud, Python","sports injury modeling, innovation, brazil, impact"
Raj Smith,user4@example.com,10 years,India,Disaster Relief Logistics,Professional in Disaster Relief Logistics | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in the disaster relief logistics space to solve real-world problems.,"rock climbing, documentaries, sailing",Improved efficiency by 68% in domain-specific outcomes.,MVP,"UI/UX, AI/ML, Python, Project Management, Data Analysis","disaster relief logistics, innovation, india, impact"
Yuki Khan,user5@example.com,5 years,Germany,FashionTech,Professional in FashionTech | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in the fashiontech space to solve real-world problems.,"museum hopping, tennis, sailing",Improved efficiency by 39% in domain-specific outcomes.,Idea,"Design Systems, UI/UX, Python, Product Strategy, Cloud","fashiontech, innovation, germany, impact"
Omar Zhang,user6@example.com,12 years,Canada,Urban Planning AI,Professional in Urban Planning AI | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in the urban planning AI space to solve real-world problems.,"documentaries, UX sprints, game theory",Improved efficiency by 71% in domain-specific outcomes.,Scaling,"Data Analysis, AI/ML, Python, Research, Policy","urban planning ai, innovation, canada, impact"
Fatima Osei,user7@example.com,4 years,Kenya,Smart Voter Systems,Professional in Smart Voter Systems | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in the smart voter systems space to solve real-world problems.,"civic tech, documentaries, journaling",Improved efficiency by 45% in domain-specific outcomes.,MVP,"Blockchain, Python, Policy, Research, Product Strategy","smart voter systems, innovation, kenya, impact"
Jean Muller,user8@example.com,9 years,Germany,Smart Prosthetics,Professional in Smart Prosthetics | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in the smart prosthetics space to solve real-world problems.,"sailing, tennis, rock climbing",Improved efficiency by 56% in domain-specific outcomes.,Growth,"Hardware Design, AI/ML, Python, UX Research, Medical Devices","smart prosthetics, innovation, germany, impact"
Priya Dubois,user9@example.com,6 years,France,Volunteer Management Systems,Professional in Volunteer Management Systems | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in the volunteer management systems space to solve real-world problems.,"poetry, documentaries, UX sprints",Improved efficiency by 48% in domain-specific outcomes.,MVP,"Product Strategy, Research, Data Analysis, Cloud, UX","volunteer management, innovation, france, impact"
Liam Rossi,user10@example.com,11 years,Australia,Music Streaming Infrastructure,Professional in Music Streaming Infrastructure | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in the music streaming infrastructure space to solve real-world problems.,"rock climbing, indie music, coding",Improved efficiency by 63% in domain-specific outcomes.,Scaling,"Backend Systems, Python, Cloud, DevOps, Product Management","music infrastructure, innovation, australia, impact"
Aarav Shah,aarav.shah@quantumrx.com,6 years,India,Quantum Computing for Drug Discovery,Quantum Tech Lead @ TestCorp,Builds quantum models for molecular simulation in pharma R&D.,"quantum physics, bioinformatics, hiking",Reduced computation time by 70% in compound testing.,"MVP, Iteration","Qiskit, Python, IBM Q, Matplotlib, NumPy","quantum, drug, discovery, innovation, SME"
Meera Kapoor,meera.kapoor@agrinova.io,5 years,USA,AgriTech for Precision Irrigation,AgriTech PM @ TestCorp,Designs IoT-based irrigation systems for water conservation.,"gardening, drones, sustainability",Helped farms reduce water usage by 40%.,"Growth, Scaling","IoT, Arduino, Node.js, GIS, AutoCAD","agritech, irrigation, water, innovation, SME"
Dev Patel,dev.patel@wildai.org,7 years,Germany,AI for Wildlife Conservation,Wildlife AI Scientist @ TestCorp,Trains ML models to track endangered species in real time.,"animal welfare, conservation, Python",Detected and tracked 15+ endangered species across 3 parks.,"Scaling, Optimization","Python, YOLOv5, CNNs, TensorFlow, AWS","ai, wildlife, conservation, innovation, SME"
Ishita Rao,ishita.rao@roboaxis.tech,4 years,Canada,Robotics in Warehouse Management,Robotics Engineer @ TestCorp,Leads development of autonomous mobile robots for inventory ops.,"warehouse tours, AI, automation",Increased warehouse picking speed by 50%.,"Growth, Scaling","ROS, C++, SLAM, Python, Docker","robotics, warehouse, inventory, innovation"
Nikhil Arora,nikhil.arora@spacedetect.ai,6 years,UK,Space Debris Monitoring,SpaceTech Strategist @ TestCorp,Designs systems to track and simulate orbital debris.,"astrophysics, orbital mechanics, chess",Enabled 25% faster threat response to satellite collisions.,"MVP, Iteration","Python, STK, orbital sim, C++, Matlab","space, debris, monitoring, innovation, SME"
Sara Bhatt,sara.bhatt@arviz.studio,3 years,India,AR for Interior Design,AR Designer @ TestCorp,Develops AR experiences for immersive home design.,"interior design, AR, photography",Increased engagement on app by 3x through AR previews.,"Idea, Validation","Unity, Blender, ARKit, Swift, Figma","ar, interior, design, innovation, SME"
Yusuf Khan,yusuf.khan@legalbyte.ai,8 years,Singapore,LegalTech for Contract Review,LegalTech PM @ TestCorp,Manages AI systems that automate legal document analysis.,"contract law, NLP, coffee",Saved 1000+ review hours at 5 law firms.,"Scaling, Optimization","Python, NLP, spaCy, AWS, React","legal, tech, contract, review, SME"
Tanya Menon,tanya.menon@scoutmetrics.io,6 years,USA,Sports Analytics for Talent Scouting,Sports Data Analyst @ TestCorp,Builds models to predict player performance and scouting potential.,"football, Excel dashboards, fantasy leagues",Helped scout 3 future pros with 85% accuracy.,"Growth, Scaling","Python, R, Tableau, SQL, ML models","sports, analytics, scouting, talent, SME"
Ravi Desai,ravi.desai@climatecover.ai,5 years,India,Climate Modeling for Insurance,Climate Risk Analyst @ TestCorp,Integrates climate data into predictive models for insurers.,"rainfall trends, insurance, simulations",Reduced underwriting risk by 30% in 2 quarters.,"MVP, Iteration","R, Python, ArcGIS, Copernicus, Tableau","climate, modeling, insurance, innovation"
Anika Sinha,anika.sinha@voicegen.tech,7 years,UK,Voice AI for Customer Service,Voice AI Engineer @ TestCorp,Develops natural-sounding voice agents for support centers.,"linguistics, voice UX, podcasts",Handled 60% call volume without human agents.,"Scaling, Optimization","Python, NLP, Twilio, TTS, Dialogflow","voice, ai, customer, service, innovation"
Kabir Verma,kabir.verma@cleangrid.io,4 years,Germany,Renewable Energy Trading Platforms,CleanTech PM @ TestCorp,Builds digital platforms to trade solar and wind energy credits.,"EVs, blockchain, carbon offsets",Onboarded 100+ producers to P2P energy market.,"Growth, Scaling","Solidity, React, Ethereum, APIs, Python","renewable, energy, trading, platform, SME"
Pooja Iyer,pooja.iyer@heritageminds.ai,8 years,Canada,AI in Archaeological Reconstruction,Heritage AI Lead @ TestCorp,Uses computer vision to digitally reconstruct ruins and artifacts.,"archaeology, 3D printing, deep learning",Restored 3D maps of 10+ ancient structures.,"MVP, Iteration","Python, OpenCV, 3D Mesh, Unity, Blender","ai, archaeology, 3d, reconstruction, SME"
Adarsh Mehta,adarsh.mehta@bioprintlabs.org,5 years,India,3D Bioprinting for Organ Prototyping,Biofabrication Engineer @ TestCorp,Leads the design of bioprinted tissue for medical trials.,"medical research, 3D tech, biology",Prototyped 2 vascularized organ models.,"Idea, Validation","CAD, BioCAD, Python, cell culture, printers","bioprinting, organs, prototype, innovation"
Shruti Nair,shruti.nair@urbanloop.io,6 years,Singapore,CleanTech for Urban Waste Management,Urban Waste PM @ TestCorp,Implements smart bins and waste segregation sensors in cities.,"climate policy, smart cities, hardware",Increased recycling rate by 45% in pilot zones.,"Growth, Scaling","IoT, Python, waste data, sensors, SQL","cleantech, urban, waste, innovation, SME"
Kunal Joshi,kunal.joshi@synthwatch.org,4 years,USA,Synthetic Media Regulation Platforms,Ethics & Tech Lead @ TestCorp,Develops moderation tools to flag deepfakes and synthetic content.,"law & tech, LLMs, verification","Flagged 12,000+ fake media with 92% accuracy.","MVP, Iteration","Python, DeepFace, GANs, LLMs, moderation","synthetic, media, regulation, innovation, SME"
Lina George,lina.george@dronecart.tech,7 years,UK,Autonomous Drone Delivery,UAV Lead Engineer @ TestCorp,Leads autonomous navigation systems for last-mile drone delivery.,"drones, EVs, airspace",Reduced average delivery time to under 10 mins.,"Scaling, Optimization","PX4, ROS, C++, GPS, SLAM","drone, delivery, autonomous, innovation, SME"
Raghav Menon,raghav.menon@marinetrack.ai,5 years,India,OceanTech for Marine Life Tracking,Marine IoT Lead @ TestCorp,Develops smart buoys and GPS systems to track marine species.,"scuba diving, satellites, ecology",Enabled 24/7 tracking of 8 species in Indian Ocean.,"MVP, Iteration","GPS, LoRa, Marine sensors, Python, R","oceantech, marine, tracking, innovation, SME"
Divya Rathi,divya.rathi@playnest.co,6 years,Canada,Edutainment Platforms for Early Childhood,EdTech PM @ TestCorp,Builds gamified learning tools for 3-6 year olds.,"parenting, storytelling, game design",Boosted learning engagement by 70% in pilot users.,"Idea, Validation","Unity, React, UX, gamification, Python","edutainment, early, childhood, education, SME"
Amit Tiwari,amit.tiwari@hirepulse.ai,4 years,Germany,Emotion AI for Hiring,HR Tech Lead @ TestCorp,"Develops tools to analyze candidate tone, expression, and language.","hiring trends, psychology, AI",Improved candidate-job match accuracy by 33%.,"Growth, Scaling","emotion detection, NLP, facial AI, Python","emotion, ai, hiring, innovation, SME"
Neelam Shah,neelam.shah@textilecare.tech,7 years,Singapore,Smart Textiles for Health Monitoring,Wearable Tech Lead @ TestCorp,Creates garments with embedded sensors for health tracking.,"fashion, med devices, wearables",Detected early vitals changes in 90% of test patients.,"Scaling, Optimization","sensors, microcontrollers, BLE, Python","smart, textile, health, monitoring, SME"
Sofia Hernandez,sofia.hernandez@agrobotix.com,7 years,Mexico,Agricultural Robotics,Professional in Agricultural Robotics | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in the agricultural robotics space to solve real-world problems.,"gardening, hiking, photography",Improved efficiency by 54% in domain-specific outcomes.,Growth,"Robotics, Python, AI/ML, Embedded Systems, Data Analysis","agricultural robotics, innovation, mexico"
Matteo Bianchi,matteo.bianchi@legalflow.ai,9 years,Italy,LegalTech Automation,Professional in LegalTech Automation | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in the legaltech automation space to solve real-world problems.,"opera, cycling, chess",Improved throughput by 47% in domain-specific outcomes.,MVP,"Workflow Design, Python, Cloud, Policy, DevOps","legaltech automation, innovation, italy"
Amina Farouk,a.farouk@finovate.com,5 years,Egypt,FinTech for Microloans,Professional in FinTech for Microloans | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in the fintech microloan space to solve real-world problems.,"reading, tennis, baking",Increased loan approval speed by 33%.,Validation,"Data Analysis, Python, Risk Modeling, UX, API Design","fintech microloans, innovation, egypt"
Hiroshi Nakamura,h.nakamura@smarthomeiot.io,8 years,Japan,IoT for Smart Homes,Professional in IoT for Smart Homes | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in the smart home IoT space to solve real-world problems.,"gaming, gardening, coding",Reduced energy consumption by 29%.,Iteration,"IoT, Embedded Systems, Python, Cloud, Security","smart home iot, innovation, japan"
Thandiwe Ndlovu,thandiwe.ndlovu@wildconserve.org,6 years,South Africa,Wildlife Conservation GIS,Professional in Wildlife Conservation GIS | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in wildlife conservation GIS to solve real-world problems.,"hiking, sketching, birdwatching",Improved tracking accuracy by 62%.,Growth,"GIS, Python, Remote Sensing, Data Visualization, Ecology","wildlife gis, innovation, south africa"
Dmitry Ivanov,d.ivanov@spacetrax.space,12 years,Russia,Space Debris Tracking,Professional in Space Debris Tracking | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in space debris tracking to solve real-world problems.,"astronomy, photography, sailing",Increased detection rate by 40%.,Scaling,"Satellite Data Analysis, Python, AI/ML, Signal Processing, Cloud","space debris tracking, innovation, russia"
Chloe Martin,chloe.martin@heritage.tech,4 years,Canada,Cultural Heritage Digitization,Professional in Cultural Heritage Digitization | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in cultural heritage digitization to solve real-world problems.,"museum hopping, reading, travel","Digitized 1,000+ artifacts with 98% accuracy.",MVP,"3D Scanning, Python, UX, Digital Archiving, QA","heritage digitization, innovation, canada"
Lucas Fernandez,lucas.fernandez@compliancely.io,10 years,Spain,Corporate Compliance Automation,Professional in Corporate Compliance Automation | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in compliance automation to solve real-world problems.,"football, documentaries, policy",Reduced audit time by 58%.,Scaling,"Python, RPA, Policy, Data Analysis, DevOps","compliance automation, innovation, spain"
Mei Ling Zhao,m.zhao@foodsupply.ai,7 years,China,AI for Food Supply Chain,Professional in AI for Food Supply Chain | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in food supply chain AI to solve real-world problems.,"cooking, gardening, marathon",Cut waste by 44% through predictive analytics.,Iteration,"AI/ML, Python, Data Engineering, Forecasting, API Design","food supply chain ai, innovation, china"
Nikhil Mehta,nik.m@remoteworktools.com,5 years,India,Remote Work Productivity Tools,Professional in Remote Work Productivity Tools | Passionate about innovation | Open for collaboration,Working on cutting-edge solutions in remote work productivity to solve real-world problems.,"blogging, gaming, trekking",Boosted user engagement by 52%.,Validation,"Python, UX, Cloud, Collaboration Tools, Data Analysis","remote work tools, innovation, india"
Layla Hussein,layla.hussein@justiceai.org,11 years,UAE,AI for Judicial Transparency,Professional in Judicial AI | Passionate about innovation | Open for collaboration,Creating AI systems to support fair and transparent judicial decisions.,"legal tech, reading, TED talks",Reduced manual case processing time by 40%.,Scaling,"AI/ML, NLP, Legal Systems, Ethics, Python","judicial ai, innovation, uae"
Marcus Dubois,marcus.d@smartports.io,9 years,France,Maritime Port Automation,Professional in Smart Port Tech | Passionate about innovation | Open for collaboration,Automating smart port logistics using AI and IoT.,"sailing, logistics, documentaries",Improved cargo throughput by 25%.,Growth,"IoT, Cloud, DevOps, ML, API Integration","smart ports, innovation, france"
Imani Okafor,imani.okafor@urbanhealth.africa,6 years,Nigeria,Urban Health Tech,Professional in Urban HealthTech | Passionate about innovation | Open for collaboration,Designing mobile health platforms for urban clinics.,"mobile health, cooking, running",Enabled 20% more patient coverage in slums.,MVP,"mHealth, UX, Data Analytics, API, Python","urban healthtech, innovation, nigeria"
Jorge Mendes,jmendes@politixdata.org,8 years,Brazil,Political Campaign Analytics,Professional in Campaign Analytics | Passionate about innovation | Open for collaboration,Building real-time dashboards for political campaigns.,"soccer, public speaking, civic data",Helped 3 candidates win via data-driven strategy.,Growth,"Python, Tableau, Data Strategy, NLP, Web Scraping","campaign analytics, innovation, brazil"
Isabella Russo,isabella.russo@eduverse.games,5 years,Italy,Educational Metaverse Games,Professional in EdTech Games | Passionate about innovation | Open for collaboration,Creating VR-enabled learning experiences for children.,"VR, gaming, education",Boosted test retention by 30% in pilot schools.,MVP,"Unity, UX, VR, Python, Curriculum Design","edu games, innovation, italy"
Yusuf Ahmed,yusuf.ahmed@droneseed.ag,7 years,Pakistan,Drone-Based Seed Planting,Professional in AgriDrones | Passionate about innovation | Open for collaboration,Designing drones to automate reforestation.,"sustainability, hiking, tech","Replanted 50,000+ trees in 3 months.",Growth,"DroneTech, ML, GIS, Hardware, Python","drone agri, innovation, pakistan"
Naomi Tanaka,naomi.tanaka@elderbotics.jp,10 years,Japan,Robotics for Elderly Care,Professional in Care Robotics | Passionate about innovation | Open for collaboration,Leading R&D for robotic assistants in aging populations.,"origami, wellness tech, cooking",Reduced caregiver workload by 35%.,Scaling,"Robotics, AI, UX, Embedded Systems, Safety","eldercare robotics, innovation, japan"
Daniel Kim,daniel.kim@equitech.io,6 years,South Korea,Equity in Tech Platforms,Professional in Ethical Tech | Passionate about innovation | Open for collaboration,Designing inclusive hiring platforms for tech teams.,"DEI, startups, tennis",Increased diverse hires by 28%.,MVP,"UX Research, Ethics, React, Python, Data Analysis","equity platforms, innovation, korea"
Grace Thompson,grace.t@resiliencelogix.com,9 years,USA,Disaster Risk Modeling Software,Professional in Disaster Risk | Passionate about innovation | Open for collaboration,Developing simulation platforms to assess natural disaster risk.,"hiking, maps, data viz",Helped reduce insurance premiums by 22%.,Growth,"GIS, Python, Cloud, Risk Modeling, UX","disaster risk modeling, innovation, usa"
Kwame Mensah,kwame.mensah@tradetech.africa,7 years,Ghana,B2B Trade Platforms for SMEs,Professional in SME Trade Tech | Passionate about innovation | Open for collaboration,Building regional digital trade networks for African SMEs.,"African culture, commerce, football",Enabled 40% faster cross-border payments.,Growth,"API Design, Fintech, Backend, Python, Policy","sme trade, innovation, ghana"
